user_id,recommended_items
285,1726380 1728166 561002 1808563 2712821
902,455014 1443706 599025 75845 2791339
948,1053542 2031981 2466095 1673229 410414
1183,1096406 579292 2393265 2117630 771171
1286,671485 1719107 2633410 540575 2480773
1509,1566231 1003954 466934 1972115 490987
1776,623022 991784 751179 1103447 194022
1982,2636095 1244196 1732529 1386412 430533
2742,1244196 1386412 657183 2002097 2791339
3161,472040 243252 967007 522984 723096
3256,2141209 891216 1189936 657183 727516
3375,2031981 668899 1966003 1673229 1129899
3547,1244196 1053542 1386412 657183 2791339
3630,568191 493460 240076 2514951 2087076
3806,2551376 1782499 516643 1175028 2234624
4607,657183 1244196 1386412 536047 343377
5112,1386412 1244196 1754395 657183 784737
5627,374376 415358 2380306 2593483 314274
5686,926828 475804 730809 430041 313495
5738,2310939 823512 1129899 1129891 375324
5839,1443706 1165605 1069281 2698468 2313894
6442,211719 1774071 2754392 2458668 315406
7182,2340784 1183228 2014172 2687682 784887
7693,1386412 1244196 657183 2791339 536047
8316,1066190 1982238 650449 1049182 1721435
9660,2796479 307238 1717754 2227201 2388160
9680,624750 2184058 1310205 1017628 299943
10044,1208433 388367 2232786 1229739 81416
10316,830073 784737 1162250 2489959 2134847
10469,1430325 2616539 2547410 920520 2825431
10470,2686231 2154395 161347 125527 908217
10870,1244196 1386412 507027 657183 1984327
10956,2372201 163684 493729 1204256 2798665
11027,1264432 2118332 278589 688457 1271633
11380,1165605 1891459 1686571 1914124 1443706
11423,1244196 2054979 1386412 648525 657183
11805,338801 1227554 1231221 2031674 178439
12046,1073372 2750450 2466755 2007718 437364
12097,1092821 1984327 696626 437245 1244787
12233,579292 1244196 1386412 1672211 657183
12593,2830138 2107221 1216431 1619669 2215495
12626,276791 2062731 1531793 2180322 2674899
12630,1376902 2393613 577407 1099748 2761339
12671,1646403 952102 2453965 830631 460717
12689,1105190 1508724 1221859 261110 549290
12750,470426 2092767 1933961 657183 515614
12852,1605461 1762898 481366 426390 981474
13715,1244196 1053542 1386412 657183 2791339
14269,1723559 1485135 1216153 2417863 2063876
14624,1953846 266412 468120 540551 1951497
14792,1196827 1576126 2698468 1868621 1244196
14966,2112431 2621022 2275702 1799841 2004956
15006,1499394 236410 231115 2768702 83460
15100,2520574 949723 1750053 2037855 671237
15549,1386412 2121562 784737 844968 2783906
15611,1754395 1920047 1713185 16356 1036813
16228,278589 1244196 2002097 1386412 79531
16874,610011 1155556 1347445 1384969 921425
16971,2539956 1816977 1565544 1349223 2085163
18097,1428371 624264 2323802 1815493 2470569
18564,1295570 1056667 2490294 144272 546956
18796,2706865 1014523 1695675 1747258 1551995
18994,2386570 1340014 1239301 2564909 2673336
19544,914870 2419733 1803942 2441110 2279385
19679,445231 430992 153323 1972717 1047027
19704,2330317 1443706 973448 956110 592559
20101,105999 2616539 1217373 1241563 2164559
20679,2031981 2466095 569889 1244196 410414
20815,337370 1407200 457843 1496101 2574263
20979,1029640 485102 2588067 2027185 128605
21195,1601025 2764101 1520277 2547201 1567110
21324,2520574 2049238 225268 1796117 128886
21578,1053542 1244196 1386412 2791339 657183
21627,266817 2728896 782713 1953745 2093033
21663,2617752 2167880 67174 385493 57460
21813,2024094 2588490 1473515 1624638 2481379
21835,468120 1953846 1069281 2420135 650831
22107,986950 399435 1053542 2061567 291669
22206,2599513 1955247 46216 2715723 641134
22591,1834588 882380 1880316 2364286 1328711
22728,2310379 1244196 823512 1386412 113384
23229,1908731 936865 1961546 2804518 1088599
23361,2627464 174892 1848324 2143484 147510
23459,2313955 1391091 1113937 399306 2367494
23667,1727911 251196 674993 2431753 1891679
23718,1443706 1149693 415358 2770160 2257200
24419,1244196 636889 1386412 2614865 657183
24465,1908697 2500175 661561 2507620 876945
25906,1848866 2778895 259766 1417963 836824
26038,2825431 624081 1689895 81964 2546303
26658,614433 2694195 1926375 2642105 1022335
27187,1348583 2314914 515119 35121 2139131
27501,2098716 2114193 2055851 442345 1156721
27638,771416 1222443 433379 1524219 21388
27707,2239755 1967011 965108 1472192 1237831
27727,566227 758125 1807819 2226682 964178
27845,2571055 2581784 949723 1984327 784737
27931,455551 551925 2073556 1076904 1516317
28232,120395 41406 1340660 2228294 1352001
28739,1774071 1274336 1929110 1143366 730809
28801,1376234 1090127 271161 2590190 205032
28972,486011 1085517 2227010 106261 2362712
