dic = {491521:[(434421,0.16971097366789273),(589441,0.1683400136374913),(1380107,0.1397685850660627),(2284706,0.13433899903058047),(538145,0.13330284601049625),(2200859,0.13057771715423805),(2411495,0.1286689100932726),(407086,0.12415117260421664),(2414377,0.12243830337278863),(1016837,0.11840062627636369),(2101655,0.10957969087594764),(103339,0.10957969087594764),(45379,0.10957969087594764),(1602238,0.10957969087594764),(228623,0.10957969087594764),(964787,0.10957969087594764),(129743,0.10957969087594764),(2035458,0.10957969087594764),(1129576,0.10957969087594764),(1294609,0.10957969087594764)],
2818051:[(456536,0.07453559924999299),(2830168,0.07453559924999299),(57235,0.06804138174397717),(1657452,0.06804138174397717),(1830824,0.06571022815210248),(1081513,0.06571022815210248),(1498850,0.0445435403187374),(844177,0.0445435403187374),(1519181,0.0445435403187374),(2709907,0.0445435403187374),(1157861,0.0445435403187374),(2012589,0.0445435403187374),(1408219,0.0445435403187374),(541783,0.021166687833365082),(2496877,0.021166687833365082),(1517658,0.021166687833365082),(44180,0.021166687833365082),(1300830,0.021166687833365082),(2506838,0.021166687833365082),(1332105,0.021166687833365082)],
1540101:[(602260,0.0703857885557562),(16356,0.06804138174397717),(1266388,0.0662973466188015),(266817,0.06104873857978207),(2086053,0.06104873857978207),(2783906,0.05570096829346415),(2142549,0.04811252243246881),(78440,0.04768605191247158),(1953745,0.04719776684561566),(1366236,0.039283710065919304),(1006357,0.039283710065919304),(2484622,0.039283710065919304),(2076321,0.0320357959204991),(2093033,0.0320357959204991),(887776,0.029222593828541397),(2336914,0.02901294265928297),(916239,0.02901294265928297),(1492358,0.028271949730812738),(2402944,0.026688025634181184),(865484,0.026688025634181184)],
2457606:[(1268997,0.05289458172489662),(2090363,0.05235226804029615),(1704599,0.046003895356482874),(2034234,0.04551490239690618),(103079,0.045181980134243294),(1378744,0.04507472502563152),(682280,0.044429713195880585),(785593,0.044429713195880585),(985008,0.04414002406490194),(1155556,0.04387194774493719),(1870745,0.03939893591711041),(2503148,0.03893997047155673),(1299729,0.03893997047155673),(290105,0.038729833462074176),(925176,0.038729833462074176),(2210368,0.038729833462074176),(1907046,0.038729833462074176),(2433799,0.038729833462074176),(656507,0.03854374661828382),(2618733,0.03827133310805508)],
1441798:[(1062272,0.06371108685136677),(994489,0.05473805515039734),(1965165,0.05473805515039734),(1757987,0.05473805515039734),(1504925,0.05473805515039734),(2182484,0.05473805515039734),(1602378,0.05473805515039734),(2743148,0.05473805515039734),(128944,0.05473805515039734),(1908027,0.05473805515039734),(2711268,0.05473805515039734),(2398489,0.05473805515039734),(1422560,0.05473805515039734),(920485,0.05473805515039734),(549154,0.05473805515039734),(2440098,0.05473805515039734),(1133438,0.05473805515039734),(1435327,0.05473805515039734),(2654568,0.05473805515039734),(637452,0.05473805515039734)],
819208:[(2322404,0.0380354020260555),(2439615,0.029462782549439483),(1951319,0.029462782549439483),(1903604,0.029462782549439483),(918492,0.027777777777777776),(1137676,0.027777777777777776),(480490,0.027777777777777776),(910698,0.027777777777777776),(2691719,0.027777777777777776),(2558484,0.027777777777777776),(1060300,0.027777777777777776),(2716420,0.026252285128463317),(2386461,0.026252285128463317),(2269251,0.026252285128463317),(1562873,0.019117977822546817),(287649,0.019117977822546817),(2518697,0.019117977822546817),(2386451,0.019117977822546817),(1091113,0.019117977822546817),(2317362,0.019117977822546817)],
557063:[(58071,0.10110777641944843),(372938,0.06717333846936127),(2212459,0.05707188924195934),(221256,0.04882987355126503),(2802608,0.04522670168666454),(805382,0.04522670168666454),(354284,0.04522670168666454),(525280,0.0385694607919935),(900370,0.0385694607919935),(322220,0.0385694607919935),(1771601,0.0385694607919935),(1739585,0.0385694607919935),(1072942,0.0385694607919935),(771158,0.03327787851555561),(1491806,0.033028912953790825),(2606234,0.033028912953790825),(101035,0.033028912953790825),(2389114,0.033028912953790825),(414175,0.033028912953790825),(2086041,0.03206202738994596)],
917512:[(931519,0.2683741244085951),(1025299,0.21992481694447635),(452092,0.1341640786499874),(784737,0.12582137908402746),(2791339,0.09634220445142629),(1092821,0.0934303760029737),(638712,0.09169185211158003),(536047,0.08525988843383923),(2336701,0.08325369341214474),(1162250,0.08023767742543877),(1244196,0.07807451126022599),(2822479,0.07367801816756331),(313851,0.07319708322492387),(229304,0.07192514919656766),(2820720,0.0676003323964634),(1297289,0.06586388184666658),(716019,0.06426303873534495),(972388,0.06300478551146745),(2512414,0.06240013025975821),(2002097,0.062103766842512245)],
1638414:[(2764162,0.034020690871988585),(157516,0.02688351618648803),(2358007,0.026554745776917476),(906941,0.021926624948511143),(1641398,0.021926624948511143),(1393685,0.019641855032959652),(2107649,0.019641855032959652),(1754760,0.019641855032959652),(1928254,0.018184824186332698),(2648060,0.016037507477489603),(1961661,0.016037507477489603),(1127844,0.016037507477489603),(1350182,0.016037507477489603),(1934518,0.016037507477489603),(1608628,0.016037507477489603),(2094372,0.015214515486254614),(1886939,0.015214515486254614),(2037477,0.015214515486254614),(2511644,0.015214515486254614),(2158828,0.015214515486254614)],
2195471:[(1155556,0.06464473704650149),(2028954,0.05477225575051661),(2738695,0.05477225575051661),(715272,0.05477225575051661),(932710,0.05477225575051661),(653851,0.05477225575051661),(489665,0.05477225575051661),(2251936,0.05477225575051661),(2551254,0.05477225575051661),(876667,0.05477225575051661),(1079639,0.05477225575051661),(1564908,0.043033148291193514),(2759556,0.033333333333333326),(1698315,0.033333333333333326),(1388615,0.023570226039551584),(1758661,0.023570226039551584),(291669,0.023570226039551584),(2002097,0.023570226039551584),(2610801,0.023570226039551584),(2050770,0.023570226039551584)],
