dic = {285:[(1728166,0.12228880103613687),(561002,0.1019592058921656),(1726380,0.08747830968161871),(1281879,0.0734906280723034),(1216431,0.07104960911254168),(2676153,0.06655820864890588),(2775898,0.06655820864890588),(1858896,0.06287778418959213),(2712821,0.05864732805460536),(2123252,0.05832906459604171),(2031674,0.05735142596517018),(1766092,0.055298614165280494),(922410,0.055266869090649026),(1808563,0.05524597545517054),(266817,0.054165887178146445)],
902:[(1443706,0.34403861317293394),(1244196,0.323135816164511),(2791339,0.31288771566435364),(1162250,0.2656666228731631),(2466095,0.2392333970163841),(657183,0.2024861000250997),(2796479,0.18002048805186865),(599025,0.1658385584539831),(1386412,0.15729961932648864),(237692,0.15379377084305806),(2420135,0.13158071453913706),(784737,0.12852790486590926),(1570917,0.12701617656510059),(940481,0.12521005610452965),(455014,0.12508304700226242)],
948:[(1053542,0.746690582358343),(2778525,0.23307962739156055),(1244196,0.23227370825212637),(2466095,0.20837219670280022),(1595372,0.19740409287950025),(823512,0.17952669805720878),(2031981,0.17479495802821676),(657183,0.1554349094405313),(2087002,0.15000000000000002),(570383,0.14166666666666666),(1156803,0.1411381945406024),(1076904,0.12619671467309335),(2198329,0.12393787002309568),(343377,0.12393787002309568),(1859093,0.11722572030577294)],
1183:[(1096406,0.4849659067296101),(1244196,0.2586742677417548),(2117630,0.2466404325111316),(1664426,0.23975854308188155),(579292,0.23727983776470069),(77400,0.178230576162143),(79531,0.152080128138056),(2214708,0.14588140188205187),(2393265,0.13965658456452165),(2778525,0.13080311604857808),(870096,0.12579600545246725),(668146,0.12192385104335082),(1162250,0.12151773405497081),(683365,0.11515994409367358),(2301803,0.110440745378282)],
1286:[(2778525,-1),(1244196,-2),(1386412,-3),(657183,-4),(2791339,-5),(536047,-6),(2002097,-7),(1092821,-8),(784737,-9),(1053542,-10),(278589,-11),(79531,-12),(1928254,-13),(1162250,-14),(1984327,-15)],
1509:[(2086041,0.45063253710843443),(1376058,0.31529794599361266),(2182715,0.2720245243896313),(2546303,0.23876114943139604),(1496156,0.21763789262678482),(1566231,0.21735112235461557),(1865831,0.2142719586970559),(1244196,0.2110303845566304),(269512,0.19022497062566263),(892333,0.18820680646982957),(1689895,0.1844139906832989),(567560,0.17232799672919974),(228623,0.16678091295217118),(2705759,0.16348661893087071),(1824686,0.15462182383031842)],
1776:[(1103447,0.07071067811865475),(623022,0.07071067811865475),(194022,0.07071067811865475),(1687056,0.026692331014890824),(2468340,0.026692331014890824),(1757758,0.025958957884023578),(1277140,0.025958957884023578),(588206,0.025958957884023578),(991784,0.02484519974999766),(765105,0.02484519974999766),(751179,0.02484519974999766),(1836210,0.02295559535308947),(939717,0.02295559535308947),(1386412,0.02295559535308947),(337943,0.022680460581325723)],
1982:[(2778525,-1),(1244196,-2),(1386412,-3),(657183,-4),(2791339,-5),(536047,-6),(2002097,-7),(1092821,-8),(784737,-9),(1053542,-10),(278589,-11),(79531,-12),(1928254,-13),(1162250,-14),(1984327,-15)],
2742:[(2778525,-1),(1244196,-2),(1386412,-3),(657183,-4),(2791339,-5),(536047,-6),(2002097,-7),(1092821,-8),(784737,-9),(1053542,-10),(278589,-11),(79531,-12),(1928254,-13),(1162250,-14),(1984327,-15)],
3161:[(472040,0.4546420888165408),(1386412,0.23151486388009218),(723096,0.2111735992789883),(460717,0.1660869699734443),(665194,0.10155530491971787),(2406712,0.08012311528483605),(967007,0.0744769447672754),(2778525,0.07393460616104909),(2124917,0.0642661181552252),(2348229,0.06381630013571338),(1680835,0.06053307452718524),(756463,0.05982184860254092),(1434088,0.05982184860254092),(2658075,0.05982184860254092),(2791339,0.057214264411117585)],
3256:[(1244196,0.10515014008809474),(657183,0.09798090577867172),(1162250,0.07568735753865526),(2796479,0.07568735753865526),(2546378,0.07500000000000001),(2413494,0.07500000000000001),(13518,0.07500000000000001),(1330328,0.07500000000000001),(1437485,0.07500000000000001),(1533906,0.07500000000000001),(2087479,0.07500000000000001),(1092821,0.06396021490668313),(1597121,0.06396021490668313),(784737,0.06348347342142807),(2616493,0.04166666666666667)],
3375:[(2778525,1.0164064609504244),(1244196,0.3474943681136381),(2031981,0.20628631547309922),(1953846,0.18548624838361844),(784737,0.1806692248102181),(42452,0.168723983525837),(1595372,0.1593627761462255),(1576126,0.14995279565768338),(1477734,0.13144585576580214),(668899,0.1281895154771413),(569889,0.12415310216864182),(475121,0.11821817635758247),(1129899,0.11163019276835195),(2313894,0.10718439695609086),(1119495,0.10540925533894599)],
3547:[(2778525,-1),(1244196,-2),(1386412,-3),(657183,-4),(2791339,-5),(536047,-6),(2002097,-7),(1092821,-8),(784737,-9),(1053542,-10),(278589,-11),(79531,-12),(1928254,-13),(1162250,-14),(1984327,-15)],
3630:[(415358,0.2068383714525148),(2750191,0.15861582189053405),(1443706,0.14453715993349334),(2625619,0.14027955148045834),(1244196,0.13363177898613118),(2501356,0.10597514334082837),(447985,0.09855528222181849),(1472716,0.09706091190011419),(1664453,0.09252087432583403),(568191,0.08960398945637991),(2705759,0.08653968631282029),(1290875,0.07906256095211582),(2348573,0.07739702509450624),(1231082,0.07491822985688093),(177825,0.07389330977056247)],
3806:[(1432568,0.07868254196241112),(1472716,0.07784596472156122),(2348573,0.07054043317277836),(1244196,0.06932961856182629),(973448,0.06681734236906177),(2002097,0.06665075534419758),(2750191,0.06406520826504358),(592559,0.06385486457792322),(83516,0.06172973711562611),(902049,0.05225137229130235),(1376427,0.05207761847236253),(2080276,0.05106243289120146),(2778525,0.0476312904242225),(1619659,0.04747892743607244),(832732,0.047400914759920795)],
4607:[(2778525,-1),(1244196,-2),(1386412,-3),(657183,-4),(2791339,-5),(536047,-6),(2002097,-7),(1092821,-8),(784737,-9),(1053542,-10),(278589,-11),(79531,-12),(1928254,-13),(1162250,-14),(1984327,-15)],
5112:[(2778525,-1),(1244196,-2),(1386412,-3),(657183,-4),(2791339,-5),(536047,-6),(2002097,-7),(1092821,-8),(784737,-9),(1053542,-10),(278589,-11),(79531,-12),(1928254,-13),(1162250,-14),(1984327,-15)],
5627:[(374376,0.09622504486493762),(345660,0.04811252243246881),(415358,0.04811252243246881),(2802026,0.04811252243246881),(2380306,0.04811252243246881),(2593483,0.04811252243246881),(1937957,0.040422604172722164),(314274,0.040422604172722164),(2778525,-1),(1244196,-2),(1386412,-3),(657183,-4),(2791339,-5),(536047,-6),(2002097,-7)],
5686:[(926828,0.1670562851855946),(2309898,0.1413589858391368),(475804,0.109189291807748),(522765,0.08660254037844387),(2833963,0.08660254037844387),(1450555,0.08660254037844387),(2138292,0.0829104961940029),(2471602,0.07750850959871927),(2205047,0.0761327089638106),(2774733,0.07589030021024659),(976732,0.07071067811865475),(2222478,0.07071067811865475),(904512,0.07071067811865475),(1500602,0.07071067811865475),(823512,0.07071067811865475)],
5738:[(2778525,1.1698927417401785),(1244196,0.7151103992171819),(823512,0.5126337669274479),(2310939,0.36589150891441324),(2466095,0.35971574898093395),(538069,0.34635461933877526),(657183,0.3430604974172984),(1156803,0.3231167702022472),(2031981,0.3099682197650075),(1774879,0.29471484138934306),(1807819,0.2888259877288963),(1947571,0.2597924216854441),(1386412,0.25949447110775403),(2545674,0.2563152129432843),(1477734,0.2425932115242489)],
5839:[(1443706,0.33133685041806366),(657183,0.2562539019057282),(79531,0.20978675281968048),(2698468,0.18910036410323355),(2625619,0.18594097799810533),(1386412,0.18532859950747466),(1317915,0.15963249959854836),(2313894,0.14355691224341321),(1181698,0.13340995541856715),(1754395,0.12004366787879558),(2791339,0.11817178312058554),(2603642,0.11613719666647127),(808406,0.11613719666647127),(1165605,0.11079300025748165),(1241464,0.10954451150103323)],
6442:[(315406,0.07026705135498064),(2458668,0.053487901219688216),(574981,0.04777152611900254),(1498369,0.04777152611900254),(2464913,0.04777152611900254),(544219,0.04777152611900254),(1412389,0.04777152611900254),(1422652,0.04556407565242074),(211719,0.04489258686502652),(1928254,0.043294853469020796),(2401164,0.04276890156588687),(2558141,0.04276890156588687),(2108935,0.038533440680958604),(2526744,0.03777857572008744),(1947284,0.033779570066376975)],
7182:[(2014172,0.415662377952763),(2340784,0.35075298140821126),(248636,0.3496327202661667),(1183228,0.31588522753642706),(2687682,0.30609938565101863),(2215849,0.2416503593628661),(1373703,0.239401610602048),(1218572,0.15814813223420224),(784887,0.15053651416659553),(1120107,0.1384151213518692),(1611161,0.1327494974862123),(1050778,0.1327494974862123),(1298192,0.12902451852155236),(373383,0.12813669603768796),(89562,0.12466868637116384)],
7693:[(2778525,-1),(1244196,-2),(1386412,-3),(657183,-4),(2791339,-5),(536047,-6),(2002097,-7),(1092821,-8),(784737,-9),(1053542,-10),(278589,-11),(79531,-12),(1928254,-13),(1162250,-14),(1984327,-15)],
8316:[(2476988,0.11388389986937526),(1982238,0.07468039992766647),(499178,0.07304336157888307),(1607107,0.05222329678670936),(954150,0.05222329678670936),(983047,0.05219538510339029),(318505,0.05084503387385822),(2347314,0.04688638676662271),(871916,0.04264014327112209),(1534119,0.04264014327112209),(1587291,0.04264014327112209),(1785696,0.04264014327112209),(7538,0.04072365454655838),(1060184,0.04000634105759441),(1116748,0.03999759637051658)],
9660:[(1386412,0.08477885106429776),(2227201,0.05289710901917723),(2650926,0.04166666666666667),(1717754,0.039270776702489026),(2502800,0.03700316143408844),(392352,0.03369194583017433),(2709027,0.03369194583017433),(2734492,0.030815487096682845),(784737,0.029936027480262847),(2419510,0.02957514603733876),(2134619,0.029462782549439483),(1738651,0.029462782549439483),(919619,0.029462782549439483),(478799,0.02889991283056021),(734196,0.028222927882901074)],
9680:[(2184058,0.05397434435873448),(2272823,0.048112522432468816),(624750,0.04155174448373565),(1310205,0.038513138935369576),(2343092,0.022680460581325723),(1017628,0.022680460581325723),(431272,0.019641855032959652),(886778,0.019641855032959652),(10811,0.019641855032959652),(609071,0.019641855032959652),(798925,0.019641855032959652),(2757405,0.019641855032959652),(1359029,0.019641855032959652),(1287467,0.019641855032959652),(2639430,0.018871283902409927)],
10044:[(388367,0.04499531815845316),(81416,0.04499531815845316),(2232786,0.04499531815845316),(1208433,0.04499531815845316),(115324,0.029104275004359956),(2793149,0.029104275004359956),(1517153,0.029104275004359956),(2071024,0.029104275004359956),(2624301,0.029104275004359956),(2541582,0.029104275004359956),(711587,0.029104275004359956),(176299,0.029104275004359956),(2487871,0.029104275004359956),(2286154,0.029104275004359956),(1604641,0.029104275004359956)],
10316:[(830073,0.3510212908092952),(784737,0.20982439285863014),(657183,0.18603645507436264),(2002097,0.14883068532307714),(1162250,0.12711088997548367),(1386412,0.12464196530031907),(1984327,0.11545415245374517),(2489959,0.11040382431509577),(2778525,0.09822762159187158),(1092821,0.09534475171321949),(2106311,0.0876763746759674),(470426,0.08670334287665674),(343377,0.08203807327493018),(437245,0.07695998437549248),(1604145,0.06944444444444445)],
10469:[(1756345,0.05638577744754331),(2641962,0.04557283536183117),(987162,0.043525170025552805),(2547410,0.04301898050140317),(589441,0.037267799624996496),(2553721,0.037267799624996496),(1090792,0.037267799624996496),(1355489,0.037267799624996496),(2825431,0.03514063878416841),(1739484,0.03408508632477805),(2583224,0.034020690871988585),(2739609,0.034020690871988585),(920520,0.031497039417435604),(1231018,0.031497039417435604),(1536313,0.029462782549439483)],
10470:[(353289,0.09346308612413932),(2686231,0.08127812191080952),(2154395,0.08127812191080952),(2210368,0.08127812191080952),(125527,0.04856618642571828),(315341,0.040009098902197754),(161347,0.03929027658776094),(826394,0.03917517848583663),(932913,0.03709539319089718),(2160902,0.03554093266554555),(1024225,0.03554093266554555),(2632128,0.03554093266554555),(908217,0.03554093266554555),(2155612,0.035209976592254076),(986950,0.02937465351428993)],
10870:[(2778525,-1),(1244196,-2),(1386412,-3),(657183,-4),(2791339,-5),(536047,-6),(2002097,-7),(1092821,-8),(784737,-9),(1053542,-10),(278589,-11),(79531,-12),(1928254,-13),(1162250,-14),(1984327,-15)],
10956:[(192785,0.22645089599793172),(546579,0.21142884712805013),(2372201,0.1992339302111974),(1302734,0.1768362940550612),(2396877,0.16709086761938136),(2137413,0.16709086761938136),(493729,0.1501783875782527),(1460321,0.14973787879708622),(459732,0.14921487848505444),(2778525,0.14270177990524782),(1650533,0.13975177746658685),(1241389,0.13438883876231894),(1290786,0.12993882153911104),(1771601,0.12261590861971527),(158507,0.12235080920683855)],
11027:[(1706421,0.041403933560541256),(1113937,0.041403933560541256),(1087413,0.041403933560541256),(794365,0.041403933560541256),(642488,0.041403933560541256),(278589,0.041403933560541256),(466173,0.041403933560541256),(1147424,0.041403933560541256),(1791528,0.041403933560541256),(1511831,0.041403933560541256),(522016,0.02979682480247573),(2523066,0.02833696839824275),(1264432,0.026172270947505457),(688457,0.023002185311411807),(1982016,0.019920476822239894)],
11380:[(1165605,0.20545256914697246),(2603862,0.15000000000000002),(367160,0.15000000000000002),(2652417,0.13943441768285003),(2791339,0.13635204326587),(997501,0.1341640786499874),(1984327,0.1286817973101826),(830073,0.12533358099853972),(1244196,0.09254245550840928),(2778525,0.08823466516947796),(536047,0.0846390797329973),(1386412,0.0842172243536335),(1695664,0.08203560003943644),(1953846,0.08167614469852268),(1576126,0.07856513198738041)],
11423:[(2778525,-1),(1244196,-2),(1386412,-3),(657183,-4),(2791339,-5),(536047,-6),(2002097,-7),(1092821,-8),(784737,-9),(1053542,-10),(278589,-11),(79531,-12),(1928254,-13),(1162250,-14),(1984327,-15)],
11805:[(84155,0.2354475978135),(1586516,0.19245008972987526),(178439,0.18611506296297495),(931519,0.16578991120622663),(1175235,0.16365602140206276),(1604818,0.1483394321605842),(1001431,0.14522884617190907),(1093296,0.12670914152909823),(865510,0.1264014917994897),(2673524,0.10750326814902834),(1712497,0.10750326814902834),(1421766,0.10750326814902834),(399853,0.10750326814902834),(1676825,0.10257442792242076),(479195,0.09642365197998373)],
12046:[(607052,0.04894090899310892),(954409,0.04766276102638414),(437364,0.04509982932782492),(2588187,0.04509982932782492),(2123151,0.04509982932782492),(1432589,0.04509982932782492),(1446413,0.04509982932782492),(914591,0.04509982932782492),(931565,0.04509982932782492),(114266,0.04408493777020838),(878217,0.04408493777020838),(1796876,0.04408493777020838),(2007718,0.04408493777020838),(1073372,0.04408493777020838),(731081,0.04024385810492438)],
12097:[(1386412,0.570834766919321),(1092821,0.5101758708574502),(657183,0.47994754017473623),(343377,0.42958411537750973),(536047,0.40689909355155124),(784737,0.3652179511338743),(1162250,0.3256999164219167),(1984327,0.3195513116647497),(1244787,0.2924007993312967),(2593483,0.28312430336831057),(1119495,0.21008170469392803),(734196,0.20224876840935002),(2198329,0.1878622855724953),(1244196,0.16608021326197608),(1695664,0.1636219908121994)],
12233:[(2778525,-1),(1244196,-2),(1386412,-3),(657183,-4),(2791339,-5),(536047,-6),(2002097,-7),(1092821,-8),(784737,-9),(1053542,-10),(278589,-11),(79531,-12),(1928254,-13),(1162250,-14),(1984327,-15)],
12593:[(1001431,0.218484404988289),(1534045,0.1932978465175891),(1216431,0.18619259851710246),(702963,0.1832744318612255),(1801603,0.17534244724194026),(1469359,0.16012299430847995),(1619669,0.13702513548726727),(2548861,0.13615505141504416),(2107221,0.13296819138911303),(266817,0.12215413972503172),(2830138,0.11728516678885059),(2415538,0.11440155747357304),(2740724,0.10678251763065671),(1226034,0.1034844002660057),(2148834,0.09559352106664282)],
12626:[(2118010,0.08313868132658614),(1631256,0.08313868132658614),(1804721,0.08204295212273766),(2292469,0.07615650276044622),(377012,0.07500000000000001),(1322673,0.07147917827117158),(547870,0.05847883323078254),(637549,0.05847883323078254),(1862314,0.056694670951384085),(276791,0.056694670951384085),(2580699,0.05370422888234923),(386410,0.0456898731232384),(1531793,0.04557469511651448),(1911499,0.04531227511635243),(1080986,0.04522670168666454)],
12630:[(2761339,0.09567297464698796),(2393613,0.09567297464698796),(1099748,0.09567297464698796),(393793,0.09567297464698796),(2443949,0.04440835366451314),(1850969,0.041702882811414946),(2698057,0.041702882811414946),(569627,0.041702882811414946),(57235,0.028187889081935355),(987462,0.028187889081935355),(2242588,0.02345868613327564),(1016436,0.02345868613327564),(27525,0.02345868613327564),(1768281,0.02345868613327564),(2832662,0.02345868613327564)],
12671:[(1646403,0.07804354292142579),(1728147,0.05892556509887897),(2814126,0.05892556509887897),(1434088,0.05892556509887897),(830631,0.04946482201078771),(2453965,0.04627279065697639),(2568608,0.043351671438328375),(524925,0.043351671438328375),(1163863,0.04166666666666667),(1227049,0.04166666666666667),(455223,0.04166666666666667),(370820,0.04166666666666667),(2754694,0.04166666666666667),(897429,0.04166666666666667),(529889,0.03634831623313762)],
12689:[(1105190,0.030967609025086815),(261110,0.02901294265928297),(88029,0.02901294265928297),(1221859,0.025125945381480302),(549290,0.025125945381480302),(1508724,0.015151515151515152),(1098944,0.014916577162682456),(1946484,0.013937366833451512),(269945,0.013937366833451512),(1135075,0.013937366833451512),(749431,0.013937366833451512),(2646712,0.013937366833451512),(1478056,0.012562972690740151),(1454707,0.012562972690740151),(720931,0.012562972690740151)],
12750:[(657183,0.5302784526399974),(830073,0.499264450562549),(2791339,0.36301763708605306),(1386412,0.3230802439267535),(1162250,0.28770268842192187),(1244196,0.25088970043243713),(343377,0.24508396323157747),(2423978,0.24268151416258352),(1069281,0.2379135125366457),(1269685,0.20374784637591814),(2489959,0.18919149259359624),(291669,0.17661216780244618),(184517,0.15511411529210312),(266412,0.13258845729971386),(2002097,0.12849272678215581)],
12852:[(406835,0.06919231208990627),(1102260,0.06919231208990627),(1972115,0.06919231208990627),(932497,0.059946474432581734),(1496888,0.04747568883746087),(1287766,0.0445381356485476),(2658586,0.0393041832067032),(1074097,0.0393041832067032),(2143054,0.0393041832067032),(2485053,0.0393041832067032),(1560693,0.0393041832067032),(2255401,0.019727759718783273),(1091373,0.019727759718783273),(2182900,0.019727759718783273),(426390,0.016611000356454887)],
