user_id,recommended_items
491521,538145 2411495 2829657 1802350 1439776 
2818051,2830168 1830824 57235 2491392 2012589 
1540101,266817 602260 16356 2783906 2086053 
2457606,1268997 2460014 1031950 2414343 1155556 
1441798,1728166 1763102 1619669 1521582 1801603 
819208,2439615 2050227 399596 2269251 2707301 
557063,58071 120395 2212459 771158 2228294 
917512,931519 1025299 1438082 638712 2521154 
1638414,2094372 1928254 2764162 1754760 1560443 
2195471,1564908 2002097 2441881 2148842 457392 
2064399,2053679 1230659 40810 1322673 2365168 
1736719,1496888 2763004 1779599 2030128 1549837 
2555921,2778525 1244196 1386412 657183 2791339 
1867798,2049946 77575 2521154 266917 1627875 
2228247,486936 2239755 2437289 1162250 1317754 
1343511,1277973 2468829 2251758 172858 1430243 
1310750,2778525 1244196 1386412 657183 2791339 
2326558,536047 1386412 2002097 657183 1119495 
2129952,797433 50457 1608366 2429998 2332848 
2326562,1241533 220136 357363 590819 202646 
360483,650449 2620827 1185036 1718887 1540667 
2359332,767607 2635038 1784135 2423978 1920047 
1802278,499178 648857 535570 1793593 878413 
2064422,878413 830345 2654650 94929 2681769 
196649,533554 2666340 1349839 2062173 2088166 
458794,48650 259111 2819657 1185847 1784533 
2293803,18872 2038621 2328730 37276 1070839 
1802281,2459081 668146 2680669 2313894 468120 
98349,579292 1672211 2117630 2491223 77400 
819246,2225560 925129 2791339 437245 2313894 
983087,1477734 784737 1984327 830073 399596 
524333,1090310 1475454 117372 899111 1591891 
950316,1244196 2660436 2309062 475121 2727948 
426034,2374660 1376234 2821618 876529 1366236 
2097202,2571055 784737 830073 657183 1051839 
786485,2778525 1244196 1386412 657183 2791339 
65592,1928254 723096 967007 2239159 665194 
2785339,2156629 2002097 784737 1386412 2593483 
2195515,1244196 1382937 1684123 2113458 2037855 
557117,2825431 291669 81564 986950 1669749 
2195518,2791339 2027015 1022767 715061 2470649 
1933371,343377 2198329 1287323 685253 2791339 
2457660,1053542 1009366 1244196 2382710 278589 
852033,848375 98760 695332 2310379 1859350 
2752573,821462 931519 2264926 2002097 43306 
2588739,1818555 684089 573820 940554 1677336 
262212,812068 2647727 1226034 764484 1196981 
2523205,2462072 1499162 1438082 1627875 931519 
2687048,1361639 2336701 2589412 1385441 328353 
1245256,162125 1606984 648818 2396714 107638 
1048650,801479 1150284 1044973 2424927 2762550 
196687,625711 1476432 71091 1920047 940481 
1507407,668146 351176 445231 108963 153323 
1048660,2635038 2002097 535530 2244464 1776330 
491606,2723262 1153961 1719018 1340660 2360545 
917592,1244196 2562177 90273 2512859 535530 
262233,167754 934577 1332817 1242437 2085163 
2719833,2778525 889842 480007 639383 1604145 
688220,2778525 1244196 1386412 657183 2791339 
2785373,2014994 1454707 682361 1465313 1754760 
1048668,343377 784737 2791339 1162250 2106311 
2130017,1915852 90273 1867675 2117630 997764 
1540195,1841463 1724149 2383663 952102 280382 
1376357,1165605 640377 2582611 1984077 1108512 
491623,1673229 2572073 614700 2031981 1076904 
950376,1175356 1411683 508968 2280052 920145 
2719848,2641038 757657 2372194 911310 771158 
655470,1595372 193627 1057404 343377 1560853 
1179760,1113937 2057312 2466849 794365 1045268 
1605745,477856 1549837 546415 536047 1674439 
2523257,1370833 2218082 1471596 2658075 658316 
1933435,2002097 288342 2767539 2182715 883501 
1343611,1162250 1008509 486936 1119495 1776330 
1310844,1092821 2219619 1079971 852060 1810787 
1769598,2760385 671359 1384188 1669749 2381373 
589949,625711 2712481 2289895 942253 1611732 
2097275,1732848 1386412 1438082 1096406 2117630 
884868,306724 1140869 1644563 2117618 2337857 
1540232,2147088 2778525 2406712 2397044 723096 
1212553,1501428 1244787 2468829 2593483 2521699 
2982030,84369 1427934 278589 2234624 1641398 
2097299,2635038 2244464 1080406 535530 300053 
2031764,1966003 734248 1098848 2284517 2235444 
917652,205039 1885101 2349739 2053679 203016 
2949270,576605 1550643 1753558 117372 73218 
491671,2435845 1521687 1194598 2254905 1055703 
2916504,1244196 687732 2705759 266412 1776330 
2130073,447873 662974 1650533 2047088 2777730 
98458,2065842 1423795 1206667 1797481 1284494 
2982039,1042196 2488684 166946 1781580 1919327 
1147036,2364286 1328711 882380 2622157 1414197 
1376404,445302 2759789 609151 70127 2380306 
1638560,2430279 734196 784737 291669 472455 
1278116,1717241 1317347 2284517 294281 2625144 
2687142,257339 1040073 2548274 2581072 823512 
1605799,460717 2371498 1185847 2292605 1966651 
2719913,27592 243520 1779620 757668 1503414 
1376425,2055851 2002097 672563 1247843 2545674 
