user_id,recommended_items
285,1728166 561002 1726380 1808563 2712821 
902,2791339 1162250 657183 554760 2466095 
948,1053542 2778525 823512 1244196 2031981 
1183,1096406 2117630 579292 1244196 1664426 
1286,2778525 1244196 1386412 657183 2791339 
1509,2086041 1376058 1566231 1496156 2182715 
1776,1103447 623022 194022 1687056 2468340 
1982,2778525 1244196 1386412 657183 2791339 
2742,2778525 1244196 1386412 657183 2791339 
3161,472040 1386412 723096 460717 665194 
3256,1244196 2796479 1162250 79531 657183 
3375,2778525 1244196 2031981 1953846 784737 
3547,2778525 1244196 1386412 657183 2791339 
3630,1443706 415358 1244196 2625619 2750191 
3806,592559 1432568 83516 2348573 973448 
4607,2778525 1244196 1386412 657183 2791339 
5112,2778525 1244196 1386412 657183 2791339 
5627,374376 345660 415358 2802026 2380306 
5686,926828 475804 2309898 2138292 2774733 
5738,2778525 823512 1244196 1156803 1807819 
5839,657183 1443706 1386412 2791339 2778525 
6442,315406 2458668 1928254 1751372 1422652 
7182,2014172 2340784 1183228 2687682 248636 
7693,2778525 1244196 1386412 657183 2791339 
8316,2476988 499178 1982238 983047 318505 
9660,1386412 2227201 2650926 1717754 2502800 
9680,2184058 2272823 624750 1310205 2343092 
10044,388367 81416 2232786 1208433 2781618 
10316,830073 784737 657183 2002097 1386412 
10469,1756345 2641962 987162 2547410 589441 
10470,353289 826394 125527 2155612 2686231 
10870,2778525 1244196 1386412 657183 2791339 
10956,493729 2372201 300053 163684 192785 
11027,522016 2523066 1264432 1706421 1113937 
11380,1165605 2652417 2791339 1984327 830073 
11423,2778525 1244196 1386412 657183 2791339 
11805,1001431 84155 931519 178439 1175235 
12046,1162250 607052 954409 437364 931565 
12097,657183 343377 1386412 1984327 1092821 
12233,2778525 1244196 1386412 657183 2791339 
12593,1534045 1001431 1216431 1801603 702963 
12626,2580699 1804721 1631256 2118010 2521535 
12630,2761339 2393613 1099748 393793 2443949 
12671,1646403 1728147 2814126 1434088 830631 
12689,1105190 261110 88029 1221859 549290 
12750,657183 830073 2791339 343377 2423978 
12852,932497 1102260 406835 1972115 1496888 
13715,2778525 1244196 1386412 657183 2791339 
14269,1053542 823512 1244196 138271 1041709 
14624,266412 657183 1953846 650831 1443706 
14792,1244196 1576126 2778525 1053542 868811 
14966,504015 2621022 100343 813782 908513 
15006,723777 1499394 1794685 297118 2389610 
15100,1299042 816307 1069226 802988 1728143 
15549,1053542 2489959 138271 830073 398211 
15611,1386412 1695664 1754395 1920047 2698468 
16228,2778525 1244196 1386412 657183 2791339 
16874,2288244 2778525 1244196 1386412 657183 
16971,2539956 825883 1328711 194241 1913505 
18097,1428371 1815493 2323802 1317915 2244505 
18564,1576126 1953846 2490294 1295570 2796479 
18796,1014523 2730930 2778525 1822566 882152 
18994,1834588 951204 265522 41913 634598 
19544,914870 2419733 2279385 1919107 2441110 
19679,153323 2096789 2517409 445231 193627 
19704,437801 1187519 499178 788342 2330317 
20101,105999 536047 1241563 1460626 1728143 
20679,1244196 2466095 554760 2796479 2031981 
20815,2348573 1407200 890051 457843 557005 
20979,1029640 485102 1449761 1702541 2588067 
21195,1477642 1244196 1056667 2205815 374376 
21324,2520574 2645314 128886 225268 2049238 
21578,2778525 1244196 1386412 657183 2791339 
21627,266817 2783906 1953745 2093033 2547597 
21663,2167880 2617752 190325 67174 813931 
21813,2024094 1928254 1140869 1434088 2588490 
21835,1953846 657183 2796479 266412 650831 
22107,986950 2778525 457843 1053542 291669 
22206,2730927 787368 1096094 274885 1955247 
22591,1834588 1880316 1328711 771416 882380 
22728,2778525 1244196 1386412 657183 2791339 
23229,1908731 2778525 1244196 1386412 657183 
23361,2143484 174892 2512859 715107 1134856 
23459,1391091 2313955 2367494 2252536 2045755 
23667,1274654 2741322 1571417 1504118 2351383 
23718,1443706 1244196 1149693 2257200 266412 
24419,2778525 1244196 1386412 657183 2791339 
24465,657183 734196 830073 2584486 2500175 
25906,1053542 410414 2018729 1673229 79531 
26038,2825431 1689895 81964 665666 291669 
26658,460717 1244196 278589 79531 1627267 
27187,2348573 2625619 457843 141739 557005 
27501,436974 882543 2055851 2301756 1020875 
27638,771416 1878823 2222699 1524219 21388 
27707,965108 1967011 1472192 797595 1237831 
27727,1140869 79531 2791339 2002097 1386412 
27845,1053542 536047 784737 2571055 79531 
27931,2704587 947691 551925 1124313 776155 
28232,1340660 291669 120395 1376058 2086041 
28739,806981 1274336 1929110 730809 544639 
28801,1376234 477905 335145 1090127 2401491 
28972,106261 1085517 2329357 2553721 1361778 
29072,1074013 340121 1407200 712901 1086695 
29146,1962428 2332561 2318985 850021 447312 
29212,931519 767563 617858 612155 1509637 
29340,8745 2337857 262871 714309 389056 
29449,2002097 904965 172858 1149693 568191 
29519,2791339 784737 2106311 1162250 1244196 
30094,356159 79531 1541384 2712821 1014151 
30368,2778525 1244196 1386412 657183 2791339 
30774,2778525 1244196 1386412 657183 2791339 
30910,1165605 2215624 350611 1695664 2698468 
