{285:[(1728166,0.497081397687378),(561002,0.3095102218882873),(1726380,0.288218449560269),(1808563,0.2658822477957602),(2712821,0.2564398249263588)],
902:[(2791339,0.8743451788658307),(1162250,0.6896386745748389),(657183,0.5569400133970368),(554760,0.4942478165436912),(2466095,0.4933224115896786)],
948:[(1053542,3.726201227914487),(2778525,1.3984777643493633),(823512,1.0771601883432527),(1244196,0.9092051863264566),(2031981,0.7862127634730902)],
1183:[(1096406,2.560427581619775),(2117630,1.4798425950667902),(579292,1.4236790265882044),(1244196,1.313531688850551),(1664426,1.0866901339893316)],
1286:[(2778525,-1),(1244196,-2),(1386412,-3),(657183,-4),(2791339,-5)],
1509:[(2086041,2.1586534362319822),(1376058,1.3762184048556012),(1566231,1.3041067341276935),(1496156,1.0920183622307695),(2182715,1.0364126386163852)],
1776:[(1103447,0.2357022603955158),(623022,0.2357022603955158),(194022,0.2357022603955158),(1687056,0.16015398608934495),(2468340,0.16015398608934495)],
1982:[(2778525,-1),(1244196,-2),(1386412,-3),(657183,-4),(2791339,-5)],
2742:[(2778525,-1),(1244196,-2),(1386412,-3),(657183,-4),(2791339,-5)],
3161:[(472040,2.727852532899245),(1386412,1.3890891832805532),(723096,1.177954515036455),(460717,0.9074347392031911),(665194,0.6093318295183072)],
3256:[(1244196,0.8076775358252052),(2796479,0.45412414523193145),(1162250,0.45412414523193145),(79531,0.4267766952966368),(657183,0.4173248615875419)],
3375:[(2778525,6.0984387657025465),(1244196,2.084966208681828),(2031981,1.2377178928385952),(1953846,1.1129174903017105),(784737,1.0840153488613085)],
3547:[(2778525,-1),(1244196,-2),(1386412,-3),(657183,-4),(2791339,-5)],
3630:[(1443706,0.9199275872704331),(415358,0.8456949654891475),(1244196,0.7976417772247639),(2625619,0.765029603199512),(2750191,0.7314834809999144)],
3806:[(592559,0.2479043674100237),(1432568,0.24592922128776723),(83516,0.2422373240847219),(2348573,0.23204783806348217),(973448,0.19756315950493905)],
4607:[(2778525,-1),(1244196,-2),(1386412,-3),(657183,-4),(2791339,-5)],
5112:[(2778525,-1),(1244196,-2),(1386412,-3),(657183,-4),(2791339,-5)],
5627:[(374376,0.5773502691896258),(345660,0.2886751345948129),(415358,0.2886751345948129),(2802026,0.2886751345948129),(2380306,0.2886751345948129)],
5686:[(926828,0.8573656032913652),(475804,0.6551357508464879),(2309898,0.5818861202399936),(2138292,0.4974629771640175),(2774733,0.4553418012614796)],
5738:[(2778525,3.8497114933678103),(823512,1.4275854148354097),(1244196,1.1864233634309418),(1156803,0.8712199257269007),(1807819,0.8198673893885466)],
