user_id,recommended_items
285,1728166 561002 561002 1281879 1216431 
902,1162250 2791339 1244196 2106311 1443706 
948,1053542 2466095 1244196 823512 2778525 
1183,1096406 1664426 1244196 1244196 579292 
1286,2778525 1386412 2791339 1244196 657183 
1509,2086041 1496156 1566231 1824686 1376058 
1776,1103447 623022 2468340 194022 1687056 
1982,2778525 1386412 2791339 1244196 657183 
2742,2778525 1386412 2791339 1244196 657183 
3161,460717 1386412 665194 1386412 460717 
3256,2796479 784737 657183 1069281 657183 
3375,2778525 1244196 784737 42452 1244196 
3547,2778525 1386412 2791339 1244196 657183 
3630,1244196 1443706 415358 657183 2750191 
3806,73218 592559 1432568 1370919 2446758 
4607,2778525 1386412 2791339 1244196 657183 
5112,2778525 1386412 2791339 1244196 657183 
5627,374376 345660 415358 2802026 2380306 
5686,926828 2774733 2309898 475804 2138292 
5738,2778525 1244196 823512 784737 2031981 
5839,657183 1069281 2778525 2313894 1053542 
6442,315406 1219386 1774071 1928254 2458668 
7182,2014172 2340784 2340784 1183228 2687682 
7693,2778525 1386412 2791339 1244196 657183 
8316,2476988 986700 499178 1982238 1982238 
9660,1386412 2502800 2650926 2227201 1717754 
9680,2272823 2343092 624750 624750 1310205 
10044,1208433 388367 81416 1208433 2232786 
10316,830073 784737 2002097 657183 784737 
10469,1756345 2641962 589441 987162 589441 
10470,826394 353289 2686231 2154395 2210368 
10870,2778525 1386412 2791339 1244196 657183 
10956,493729 300053 1519543 192785 546579 
11027,1706421 1113937 1087413 794365 642488 
11380,1165605 2791339 830073 1984327 2603862 
11423,2778525 1386412 2791339 1244196 657183 
11805,1001431 84155 1586516 178439 931519 
12046,1162250 607052 954409 2466755 2473795 
12097,1386412 536047 1092821 1092821 536047 
12233,2778525 1386412 2791339 1244196 657183 
12593,1801603 1216431 1001431 1216431 1801603 
12626,2580699 1804721 508531 2118010 1631256 
12630,2761339 2393613 1099748 393793 2416476 
12671,1646403 1728147 1434088 830631 2814126 
12689,261110 549290 1105190 88029 549290 
12750,657183 1386412 1162250 830073 1386412 
12852,406835 1972115 1102260 932497 1496888 
13715,2778525 1386412 2791339 1244196 657183 
14269,1053542 1244196 823512 278589 1140869 
14624,657183 1069281 266412 1953846 2778525 
14792,1576126 2778525 468120 278589 2778525 
14966,504015 2621022 100343 813782 908513 
15006,723777 2427786 1499394 2127017 297118 
